Date,Narration,Withdrawal,Deposit,Balance
01/08/2026,NEFT/7BACFB3D0/ACME TECHNOLOGIES SALARY,,"95,000.00","2,36,520.50"
01/08/2026,SELF TRANSFER/12CDC1CC0/ICICI,"7,909.00",,"2,28,611.50"
01/08/2026,SELF TRANSFER/0C3254BC3/ICICI,"2,000.00",,"2,26,611.50"
03/08/2026,NEFT/1448AAA9E/KUMAR REALTY RENT,"24,000.00",,"2,02,611.50"
05/08/2026,ACH-D/ACT FIBERNET,799.00,,"2,01,812.50"
05/08/2026,AXIS CREDIT CARD BILL/05F9C041D,"66,430.00",,"1,35,382.50"
06/08/2026,UPI/776D32B96/RELIANCE FRESH/9876543210,"2,133.00",,"1,33,249.50"
07/08/2026,SELF TRANSFER/BDDC8CA37/ICICI,"2,000.00",,"1,31,249.50"
10/08/2026,NEFT/B6712303A/HDFC ERGO INSURANCE,"1,850.00",,"1,29,399.50"
10/08/2026,UPI/40775D778/D-MART/9876543210,667.00,,"1,28,732.50"
10/08/2026,UPI/40775D778/D-MART/9876543210,667.00,,"1,28,732.50"
11/08/2026,UPI/726DAF6D1/LPG GAS CYLINDER/9876543210,902.00,,"1,27,830.50"
13/08/2026,SELF TRANSFER/D6A35567D/ICICI,"2,000.00",,"1,25,830.50"
15/08/2026,UPI/E702753A1/MSEDCL ELECTRICITY/9876543210,"2,792.00",,"1,23,038.50"
15/08/2026,UPI/D0E29ED9A/D-MART/9876543210,"1,962.00",,"1,21,076.50"
15/08/2026,SELF TRANSFER/925916FFA/ICICI,"4,613.00",,"1,16,463.50"
19/08/2026,UPI/AABF2B369/RELIANCE FRESH/9876543210,"2,497.00",,"1,13,966.50"
19/08/2026,UPI/019F7F775/BARBEQUE NATION/9876543210,"4,600.00",,"1,09,366.50"
21/08/2026,SELF TRANSFER/8EFB0CE3B/ICICI,"2,000.00",,"1,07,366.50"
25/08/2026,SELF TRANSFER/AB8BA61B8/ICICI,"9,603.00",,"97,763.50"
25/08/2026,SELF TRANSFER/2AB2DD056/ICICI,"2,000.00",,"95,763.50"
29/08/2026,POS/35A00D0F2/SHELL FUEL,"2,227.50",,"93,536.00"
29/08/2026,SELF TRANSFER/2C95BC917/ICICI,"2,000.00",,"91,536.00"
31/08/2026,UPI/8F545DFB3/BARBEQUE NATION/9876543210,618.00,,"90,918.00"
